refdes,methods,streams-uFrame,database,uFrame,comment
CE06ISSM-RID16-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered, yes,yes,
CE06ISSM-RID16-03-DOSTAD000,recovered_inst,dosta_abcdjm_ctdbp_instrument_recovered, yes,yes,
CE06ISSM-RID16-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered, yes,yes,
CE06ISSM-RID16-05-PCO2WB000,recovered_inst,pco2w_abc_instrument, yes,yes,
CE06ISSM-RID16-05-PCO2WB000,recovered_inst,pco2w_abc_instrument_blank, yes,yes,
CE06ISSM-RID16-06-PHSEND000,recovered_inst,phsen_abcdef_instrument, yes,yes,
CE06ISSM-RID16-07-NUTNRB000,recovered_inst,nutnr_b_dark_instrument_recovered, yes,yes,
CE06ISSM-RID16-07-NUTNRB000,recovered_inst,nutnr_b_instrument_recovered, yes,yes,
CE06ISSM-RID16-08-SPKIRB000,recovered_host,spkir_abj_dcl_instrument_recovered, yes,yes,
CE06ISSM-SBD17-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered, yes,yes,
CE06ISSM-SBD17-06-CTDBPC000,telemetered,ctdbp_cdef_dcl_instrument, yes,yes,
CE06ISSM-SBD17-06-FLORTD000,telemetered,flort_sample, yes,yes,
CE06ISSP-SP001-02-DOSTAJ000,recovered_cspp,dosta_abcdjm_cspp_instrument_recovered, yes,yes,
CE06ISSP-SP001-04-OPTAAJ000,recovered_cspp,optaa_dj_cspp_instrument_recovered, yes,yes,
CE06ISSP-SP001-05-VELPTJ000,recovered_cspp,velpt_j_cspp_instrument_recovered, yes,yes,
CE06ISSP-SP001-06-NUTNRJ000,recovered_cspp,nutnr_j_cspp_instrument_recovered, yes,yes,
CE06ISSP-SP001-06-NUTNRJ000,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered, yes,yes,
CE06ISSP-SP001-07-SPKIRJ000,recovered_cspp,spkir_abj_cspp_instrument_recovered, yes,yes,
CE06ISSP-SP001-08-FLORTJ000,recovered_cspp,flort_sample, yes,yes,
CE06ISSP-SP001-09-CTDPFJ000,recovered_cspp,ctdpf_j_cspp_instrument_recovered, yes,yes,
CE06ISSP-SP001-10-PARADJ000,recovered_cspp,parad_j_cspp_instrument_recovered, yes,yes,
CE07SHSM-MFD35-01-VEL3DD000,recovered_inst,vel3d_cd_dcl_velocity_data_recovered, yes,yes,
CE07SHSM-MFD35-02-PRESFB000,recovered_inst,presf_abc_wave_burst_recovered, yes,yes,
CE07SHSM-MFD35-02-PRESFB000,recovered_inst,presf_abc_tide_measurement_recovered, yes,yes,
CE07SHSM-MFD35-04-ADCPTC000,recovered_inst,adcp_velocity_earth, yes,yes,
CE07SHSM-MFD35-05-PCO2WB000,recovered_inst,pco2w_abc_instrument, yes,yes,
CE07SHSM-MFD35-05-PCO2WB000,recovered_inst,pco2w_abc_instrument_blank, yes,yes,
CE07SHSM-MFD35-06-PHSEND000,recovered_inst,phsen_abcdef_instrument, yes,yes,
CE07SHSM-MFD37-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered, yes,yes,
CE07SHSM-MFD37-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered, yes,yes,
CE07SHSM-MFD37-03-DOSTAD000,recovered_inst,dosta_abcdjm_ctdbp_instrument_recovered, yes,yes,
CE07SHSM-MFD37-07-ZPLSCC000,recovered_inst,zplsc_echogram_data, yes,yes,
CE07SHSM-RID26-01-ADCPTA000,recovered_inst,adcp_velocity_earth, yes,yes,
CE07SHSM-RID26-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered, yes,yes,
